xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=prec, cpt:L=3.0 months, cpt:S=1982-05-01T00:00, cpt:T=1982-06/09, cpt:nrow=32, cpt:ncol=28, cpt:row=Y, cpt:col=X, cpt:units=mm, cpt:missing=-999.
23.625	1089.230	1135.875	1075.368	1053.864	1079.850	1073.672	1098.349	1140.197	1132.129	1139.206	1149.863	1169.350	1201.103	1266.813	1325.344	1336.704	1390.764	1574.960	1774.459	1863.608	1933.581	1833.581	1624.893	1421.795	1146.139	1049.033	1160.279	1252.580	
23.375	1066.507	1081.001	1050.428	1078.822	1113.458	1113.754	1135.618	1164.052	1141.728	1155.878	1162.116	1153.939	1199.712	1295.263	1435.105	1558.241	1668.385	1768.306	1855.373	1881.523	1935.566	1894.332	1760.349	1563.736	1294.116	1158.854	1178.333	1267.211	
23.125	1109.650	1115.720	1133.318	1172.100	1189.986	1186.381	1161.408	1152.066	1149.312	1154.389	1182.246	1207.800	1254.631	1385.501	1568.189	1887.535	2101.927	2011.529	1971.751	1961.116	1907.625	1873.797	1850.221	1638.331	1336.955	1201.452	1150.513	1313.715	
22.875	1141.631	1141.905	1174.229	1195.744	1252.110	1267.933	1205.388	1211.201	1224.975	1213.264	1226.671	1271.670	1353.364	1488.170	1712.180	2000.219	2201.383	2172.004	2077.545	2013.094	1888.804	1865.305	1858.402	1625.527	1282.256	1383.712	1591.533	1421.947	
22.625	1192.268	1143.106	1146.466	1175.175	1239.783	1284.484	1266.777	1283.299	1311.007	1312.496	1335.012	1383.378	1483.002	1730.054	1979.202	2164.893	2210.933	2125.244	2083.717	2028.713	1916.253	1873.395	1898.638	1580.193	1234.559	1362.728	1546.493	1347.079	
22.375	1231.026	1187.212	1180.433	1199.872	1236.917	1301.248	1356.023	1366.549	1383.450	1369.524	1368.554	1430.281	1621.374	1917.600	2139.316	2212.306	2234.807	-999.000	-999.000	2055.349	1952.277	1921.755	1865.002	1659.679	1343.540	1403.958	1547.876	1326.373	
22.125	1246.463	1214.225	1260.860	1293.179	1283.539	1321.643	1356.628	1373.074	1395.543	1387.803	1390.259	1402.521	2447.817	2347.862	2073.669	-999.000	-999.000	-999.000	-999.000	2150.861	2109.225	2056.634	2046.174	1848.556	1644.042	1635.061	1657.052	1423.916	
21.875	1218.058	1234.311	1287.979	-999.000	1267.865	1279.949	1317.526	1331.914	1358.401	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	2398.558	2441.199	2356.382	2318.578	2137.263	1766.328	1674.989	1713.517	1553.846	
21.625	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	2694.067	2702.598	2608.678	2379.458	2007.918	1881.896	1753.354	1688.819	
21.375	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	2875.899	2876.788	2781.241	2615.634	2296.821	2063.590	1882.338	1789.378	
21.125	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	3018.175	2925.978	2662.532	2460.092	2274.834	1954.644	1664.771	
20.875	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	3260.397	3109.299	2983.757	2697.938	2457.828	2192.448	1840.397	
20.625	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	3189.456	3114.652	3000.730	2841.985	2591.559	2194.350	
20.375	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	3268.635	3272.792	3168.120	2980.749	2637.458	
cpt:field=prec, cpt:L=3.0 months, cpt:S=1982-05-01T00:00, cpt:T=1983-06/09, cpt:nrow=32, cpt:ncol=28, cpt:row=Y, cpt:col=X, cpt:units=mm, cpt:missing=-999.
87.125	87.375	87.625	87.875	88.125	88.375	88.625	88.875	89.125	89.375	89.625	89.875	90.125	90.375	90.625	90.875	91.125	91.375	91.625	91.875	92.125	92.375	92.625	92.875	93.125	93.375	93.625	93.875	
28.125	1162.227	1005.951	979.848	1058.909	1126.503	924.025	767.665	581.160	410.783	435.026	356.975	311.424	237.335	153.240	116.872	147.632	210.013	209.146	143.258	107.340	160.447	240.925	325.819	460.155	681.595	916.654	1096.428	1177.193	
27.875	1514.687	1432.603	1272.819	1243.599	1259.664	1049.861	781.168	479.861	416.842	472.703	449.837	455.095	317.280	224.409	192.811	239.107	290.355	274.917	287.163	241.621	243.161	333.661	434.839	689.938	844.553	772.452	1026.963	1255.054	
27.625	1303.033	1327.180	1414.624	1350.635	1247.700	1208.666	987.970	664.918	692.361	607.220	571.971	518.870	458.433	362.180	345.649	291.390	366.258	377.315	399.610	287.667	290.133	394.592	615.926	886.522	945.642	891.812	1193.516	1618.331	
27.375	964.339	966.330	1156.644	1385.023	1519.554	1668.551	1588.063	1415.850	1258.258	1052.956	925.766	885.647	906.526	837.967	784.746	739.365	749.372	721.273	564.921	502.813	554.746	727.659	1076.165	1306.003	1291.037	1277.080	1448.466	1821.855	
27.125	1439.718	1166.950	1454.880	1526.683	1896.052	2102.699	2133.285	2079.754	2064.955	1920.103	1730.624	1712.833	1698.000	1716.030	1644.442	1494.179	1412.120	1280.708	1188.492	1144.926	1216.865	1422.673	1549.474	1598.284	1598.222	1524.949	1468.513	1571.254	
26.875	1579.911	1634.832	1910.564	1890.295	1923.664	2236.527	2411.633	2457.149	2475.665	2482.058	2468.916	2480.228	2455.656	2350.479	2097.599	1916.593	1722.911	1579.191	1418.603	1251.077	1318.377	1452.305	1390.248	1375.068	1402.663	1378.983	1418.219	1523.102	
26.625	1491.154	1617.462	1820.431	1921.614	1959.641	2081.686	2340.226	2398.832	2450.489	2546.662	2511.960	2442.681	2399.601	2259.710	2054.788	1773.123	1551.957	1342.003	1260.489	1235.030	1288.861	1321.564	1305.627	1292.345	1288.728	1343.030	1435.634	1625.042	
26.375	1432.294	1570.317	1722.709	1828.278	1882.345	1936.318	2014.451	2127.939	2283.889	2405.858	2348.512	2243.366	2194.034	2115.797	1959.454	1779.213	1552.565	1306.876	1167.588	1338.365	1431.704	1377.702	1373.206	1329.280	1293.139	1260.426	1415.115	1641.924	
26.125	1316.397	1422.670	1515.197	1599.405	1647.298	1653.003	1668.176	1812.814	1949.970	2040.488	2083.859	1993.736	2050.203	2078.404	2039.257	2003.976	1868.501	1771.003	1719.518	1679.403	1613.088	1572.745	1493.639	1329.661	1060.308	1157.870	1423.429	1551.055	
25.875	1209.999	1301.654	1385.212	1436.006	1453.488	1430.083	1335.015	1527.052	1598.150	1669.396	1825.273	2030.884	2312.727	2307.969	2229.991	2342.678	2350.920	2354.427	2191.630	1746.522	1789.273	1711.920	1553.218	1334.461	1043.745	1142.081	1280.993	1293.391	
